"region","service","ip"
"usdodcentral","ActionGroup","2001:489a:3203:402::178/125"
"usdodeast","ActionGroup","2001:489a:3303:402::178/125"
"usgovarizona","ActionGroup","52.127.5.156/30"
"usgovarizona","ActionGroup","52.127.10.212/30"
"usgovarizona","ActionGroup","52.244.65.137/32"
"usgovarizona","ActionGroup","2001:489a:3604:402::178/125"
"usgovtexas","ActionGroup","2001:489a:3403:402::178/125"
"usgovvirginia","ActionGroup","13.72.19.232/32"
"usgovvirginia","ActionGroup","2001:489a:3103:402::178/125"
"usdodcentral","AzureApiManagement","52.127.58.192/31"
"usdodcentral","AzureApiManagement","52.127.59.128/28"
"usdodcentral","AzureApiManagement","52.182.32.132/32"
"usdodcentral","AzureApiManagement","2001:489a:3203:402::140/124"
"usdodeast","AzureApiManagement","52.126.202.168/31"
"usdodeast","AzureApiManagement","52.126.203.80/28"
"usdodeast","AzureApiManagement","52.181.32.192/32"
"usdodeast","AzureApiManagement","2001:489a:3303:402::140/124"
"usgovarizona","AzureApiManagement","52.127.2.224/31"
"usgovarizona","AzureApiManagement","52.127.3.160/28"
"usgovarizona","AzureApiManagement","52.244.32.39/32"
"usgovarizona","AzureApiManagement","2001:489a:3604:402::140/124"
"usgoviowa","AzureApiManagement","13.73.72.21/32"
"usgoviowa","AzureApiManagement","52.127.27.32/28"
"usgovtexas","AzureApiManagement","52.127.34.192/31"
"usgovtexas","AzureApiManagement","52.127.35.128/28"
"usgovtexas","AzureApiManagement","52.238.114.8/32"
"usgovtexas","AzureApiManagement","52.238.116.144/32"
"usgovtexas","AzureApiManagement","52.243.154.118/32"
"usgovtexas","AzureApiManagement","2001:489a:3403:402::140/124"
"usgovvirginia","AzureApiManagement","13.72.39.168/32"
"usgovvirginia","AzureApiManagement","52.127.42.160/31"
"usgovvirginia","AzureApiManagement","52.127.43.128/28"
"usgovvirginia","AzureApiManagement","52.227.182.70/32"
"usgovvirginia","AzureApiManagement","52.227.222.92/32"
"usgovvirginia","AzureApiManagement","2001:489a:3103:402::140/124"
"usdodcentral","AzureAppService","20.140.73.96/27"
"usdodcentral","AzureAppService","52.127.58.96/27"
"usdodcentral","AzureAppService","52.182.92.142/32"
"usdodcentral","AzureAppService","2001:489a:3203:402::a0/123"
"usdodeast","AzureAppService","20.140.65.96/27"
"usdodeast","AzureAppService","52.126.202.96/27"
"usdodeast","AzureAppService","52.181.160.209/32"
"usdodeast","AzureAppService","2001:489a:3303:402::a0/123"
"usdodeast","AzureAppService","2001:489a:3303:802::a0/123"
"usdodeast","AzureAppService","2001:489a:3303:c02::20/123"
"usgovarizona","AzureAppService","20.140.49.128/27"
"usgovarizona","AzureAppService","52.127.2.96/27"
"usgovarizona","AzureAppService","52.244.204.248/32"
"usgovarizona","AzureAppService","2001:489a:3604:402::a0/123"
"usgovarizona","AzureAppService","2001:489a:3604:802::a0/123"
